class,striking_to_grappling_attempts_ratio
Hybrid Grappler,4.85
Hybrid Grappler,4.85
Hybrid Striker,4.81
Hybrid Grappler,4.8
Hybrid Grappler,4.8
Striker,4.79
Hybrid Grappler,4.79
Hybrid Grappler,4.78
Hybrid Grappler,4.78
Hybrid Grappler,4.77
Hybrid Grappler,4.76
Hybrid Grappler,4.74
Hybrid Grappler,4.73
Hybrid Grappler,4.7
Striker,4.68
Hybrid Striker,4.67
Hybrid Grappler,4.67
Hybrid Grappler,4.63
Hybrid Striker,4.6
Hybrid Grappler,4.58
Hybrid Grappler,4.58
Hybrid Grappler,4.55
Hybrid Striker,4.53
Hybrid Grappler,4.48
Hybrid Grappler,4.48
Hybrid Grappler,4.46
Hybrid Striker,4.45
Hybrid Grappler,4.44
Hybrid Grappler,4.44
Hybrid Grappler,4.43
Hybrid Grappler,4.42
Hybrid Grappler,4.41
Striker,4.4
Hybrid Grappler,4.4
Hybrid Striker,4.36
Hybrid Grappler,4.36
Hybrid Grappler,4.35
Hybrid Grappler,4.35
Hybrid Striker,4.34
Hybrid Grappler,4.33
Hybrid Grappler,4.32
Hybrid Grappler,4.31
Hybrid Grappler,4.31
Hybrid Grappler,4.29
Hybrid Grappler,4.29
Hybrid Grappler,4.27
Hybrid Grappler,4.24
Hybrid Grappler,4.23
Striker,4.23
Hybrid Grappler,4.21
Hybrid Grappler,4.2
Hybrid Striker,4.2
Hybrid Grappler,4.19
Striker,4.19
Hybrid Grappler,4.18
Hybrid Grappler,4.17
Hybrid Grappler,4.16
Hybrid Grappler,4.15
Hybrid Grappler,4.13
Hybrid Striker,4.11
Hybrid Grappler,4.1
Hybrid Striker,4.07
Hybrid Grappler,4.07
Hybrid Grappler,4.06
Hybrid Grappler,4.04
Hybrid Grappler,4.04
Hybrid Grappler,4.04
Hybrid Grappler,4.04
Hybrid Grappler,4.04
Hybrid Grappler,4.01
Hybrid Grappler,4.01
Striker,4.01
Hybrid Grappler,4
Hybrid Grappler,4
Hybrid Grappler,4
Hybrid Grappler,4
Hybrid Grappler,4
Hybrid Grappler,4
Hybrid Grappler,3.99
Hybrid Grappler,3.97
Hybrid Grappler,3.94
Hybrid Grappler,3.93
Striker,3.91
Hybrid Grappler,3.91
Hybrid Grappler,3.91
Hybrid Grappler,3.9
Hybrid Grappler,3.89
Hybrid Grappler,3.88
Hybrid Grappler,3.88
Hybrid Grappler,3.87
Hybrid Grappler,3.86
Hybrid Grappler,3.86
Striker,3.86
Hybrid Grappler,3.83
Hybrid Grappler,3.83
Hybrid Grappler,3.83
Hybrid Grappler,3.82
Hybrid Striker,3.82
Hybrid Grappler,3.81
Hybrid Grappler,3.81
Striker,3.75
Hybrid Grappler,3.75
Hybrid Grappler,3.75
Hybrid Grappler,3.72
Hybrid Grappler,3.71
Hybrid Grappler,3.71
Striker,3.7
Hybrid Grappler,3.7
Hybrid Grappler,3.67
Hybrid Grappler,3.67
Hybrid Grappler,3.66
Hybrid Grappler,3.65
Hybrid Grappler,3.64
Hybrid Grappler,3.62
Hybrid Grappler,3.62
Hybrid Grappler,3.61
Hybrid Grappler,3.61
Hybrid Striker,3.6
Hybrid Grappler,3.59
Hybrid Grappler,3.55
Hybrid Grappler,3.54
Hybrid Grappler,3.53
Hybrid Grappler,3.52
Hybrid Grappler,3.51
Hybrid Grappler,3.5
Grappler,3.5
Hybrid Grappler,3.5
Hybrid Grappler,3.49
Hybrid Grappler,3.49
Hybrid Striker,3.48
Hybrid Grappler,3.47
Grappler,3.45
Hybrid Grappler,3.45
Grappler,3.45
Striker,3.43
Hybrid Grappler,3.43
Hybrid Grappler,3.43
Hybrid Grappler,3.42
Hybrid Grappler,3.41
Striker,3.39
Hybrid Grappler,3.37
Hybrid Grappler,3.36
Hybrid Grappler,3.36
Hybrid Grappler,3.35
Grappler,3.35
Hybrid Grappler,3.35
Hybrid Grappler,3.35
Hybrid Grappler,3.33
Hybrid Grappler,3.33
Hybrid Grappler,3.3
Hybrid Grappler,3.29
Hybrid Grappler,3.29
Hybrid Striker,3.28
Hybrid Grappler,3.27
Hybrid Grappler,3.25
Hybrid Grappler,3.25
Hybrid Grappler,3.24
Hybrid Striker,3.23
Hybrid Grappler,3.21
Hybrid Grappler,3.2
Hybrid Grappler,3.18
Hybrid Striker,3.18
Hybrid Striker,3.17
Hybrid Striker,3.16
Hybrid Grappler,3.15
Hybrid Grappler,3.1
Hybrid Grappler,3.09
Hybrid Grappler,3.08
Hybrid Grappler,3.08
Striker,3.07
Hybrid Grappler,3.06
Striker,3.05
Grappler,3.03
Hybrid Grappler,3.02
Grappler,3
Hybrid Grappler,3
Hybrid Grappler,3
Hybrid Grappler,3
Hybrid Grappler,3
Hybrid Grappler,3
Hybrid Grappler,2.97
Hybrid Grappler,2.96
Hybrid Grappler,2.96
Striker,2.95
Hybrid Grappler,2.95
Hybrid Grappler,2.95
Hybrid Grappler,2.95
Hybrid Grappler,2.94
Hybrid Grappler,2.92
Hybrid Grappler,2.92
Hybrid Grappler,2.91
Hybrid Grappler,2.91
Hybrid Grappler,2.9
Hybrid Grappler,2.89
Grappler,2.89
Hybrid Grappler,2.88
Hybrid Grappler,2.88
Hybrid Grappler,2.87
Hybrid Grappler,2.86
Striker,2.85
Hybrid Grappler,2.85
Hybrid Grappler,2.85
Grappler,2.84
Hybrid Grappler,2.84
Hybrid Grappler,2.84
Hybrid Grappler,2.84
Hybrid Grappler,2.83
Hybrid Grappler,2.82
Hybrid Grappler,2.81
Hybrid Grappler,2.81
Hybrid Grappler,2.8
Hybrid Grappler,2.79
Hybrid Grappler,2.79
Hybrid Grappler,2.78
Hybrid Grappler,2.77
Hybrid Grappler,2.77
Striker,2.77
Hybrid Grappler,2.77
Hybrid Grappler,2.76
Hybrid Grappler,2.76
Hybrid Grappler,2.75
Hybrid Grappler,2.75
Hybrid Grappler,2.75
Hybrid Grappler,2.75
Hybrid Grappler,2.75
Hybrid Grappler,2.74
Hybrid Grappler,2.74
Hybrid Striker,2.74
Hybrid Grappler,2.73
Hybrid Grappler,2.73
Hybrid Striker,2.73
Hybrid Grappler,2.72
Hybrid Striker,2.72
Hybrid Grappler,2.72
Hybrid Grappler,2.71
Grappler,2.7
Hybrid Striker,2.7
Hybrid Grappler,2.69
Hybrid Grappler,2.68
Hybrid Grappler,2.67
Hybrid Grappler,2.67
Hybrid Grappler,2.66
Hybrid Grappler,2.64
Hybrid Grappler,2.64
Hybrid Grappler,2.64
Hybrid Grappler,2.64
Hybrid Grappler,2.64
Hybrid Grappler,2.64
Striker,2.64
Hybrid Grappler,2.63
Hybrid Striker,2.62
Hybrid Grappler,2.6
Hybrid Grappler,2.59
Hybrid Grappler,2.58
Striker,2.56
Hybrid Grappler,2.55
Hybrid Grappler,2.55
Hybrid Grappler,2.54
Striker,2.53
Hybrid Grappler,2.53
Hybrid Grappler,2.52
Hybrid Grappler,2.52
Hybrid Grappler,2.52
Hybrid Grappler,2.52
Hybrid Grappler,2.52
Hybrid Grappler,2.5
Hybrid Grappler,2.5
Hybrid Grappler,2.5
Hybrid Grappler,2.49
Hybrid Grappler,2.48
Hybrid Grappler,2.47
Grappler,2.46
Hybrid Grappler,2.46
Hybrid Grappler,2.44
Grappler,2.43
Hybrid Grappler,2.42
Hybrid Grappler,2.4
Hybrid Grappler,2.4
Hybrid Grappler,2.39
Grappler,2.38
Hybrid Grappler,2.35
Hybrid Grappler,2.35
Hybrid Grappler,2.33
Hybrid Grappler,2.33
Hybrid Striker,2.32
Hybrid Grappler,2.32
Hybrid Grappler,2.31
Hybrid Grappler,2.31
Hybrid Grappler,2.3
Hybrid Grappler,2.3
Striker,2.29
Hybrid Grappler,2.29
Hybrid Grappler,2.28
Striker,2.28
Hybrid Grappler,2.27
Hybrid Striker,2.27
Hybrid Grappler,2.27
Hybrid Grappler,2.26
Hybrid Grappler,2.26
Striker,2.26
Hybrid Grappler,2.25
Striker,2.24
Hybrid Grappler,2.24
Hybrid Grappler,2.24
Hybrid Grappler,2.24
Hybrid Grappler,2.22
Hybrid Grappler,2.2
Hybrid Grappler,2.18
Hybrid Grappler,2.17
Hybrid Grappler,2.17
Hybrid Grappler,2.15
Hybrid Grappler,2.14
Hybrid Grappler,2.14
Hybrid Grappler,2.13
Hybrid Grappler,2.13
Striker,2.12
Hybrid Grappler,2.11
Hybrid Grappler,2.1
Striker,2.1
Hybrid Grappler,2.07
Hybrid Grappler,2.06
Hybrid Striker,2.06
Hybrid Grappler,2.05
Hybrid Grappler,2.05
Hybrid Grappler,2.05
Hybrid Striker,2.05
Hybrid Grappler,2.04
Hybrid Grappler,2.03
Hybrid Grappler,2.03
Hybrid Grappler,2
Hybrid Grappler,2
Hybrid Grappler,2
Hybrid Grappler,1.99
Hybrid Striker,1.99
Striker,1.99
Grappler,1.99
Hybrid Grappler,1.98
Hybrid Grappler,1.98
Striker,1.97
Striker,1.97
Striker,1.97
Hybrid Grappler,1.95
Hybrid Grappler,1.95
Hybrid Grappler,1.95
Hybrid Grappler,1.95
Hybrid Grappler,1.93
Striker,1.92
Hybrid Grappler,1.92
Hybrid Grappler,1.91
Striker,1.91
Hybrid Grappler,1.91
Hybrid Grappler,1.91
Hybrid Grappler,1.91
