Name,class,striking_to_grappling_attempts_ratio,striking_to_grappling_time_ratio
Matt Van Buren,Hybrid Striker,10,31
Mike Rodriguez,Hybrid Striker,10,31
Al Iaquinta,Striker,9.99,47.84
Chris Cariaso,Hybrid Striker,9.95,53.9
Calvin Kattar,Striker,9.94,17.18
Stephen Thompson,Striker,9.94,35.48
Brandon Thatch,Hybrid Striker,9.93,217.18
Albert Morales,Hybrid Striker,9.91,27.36
Hernani Perpetuo,Hybrid Striker,9.9,174.61
Andrei Arlovski,Hybrid Striker,9.83,50.72
Clint Hester,Hybrid Striker,9.72,14.9
Shane Burgos,Hybrid Grappler,9.56,56.83
Emily Peters Kagan,Hybrid Striker,9.42,39
Sean Spencer,Hybrid Striker,9.39,17.75
Enrique Marin,Hybrid Striker,9.27,62.16
Nate Diaz,Hybrid Grappler,9.18,820.05
TJ Dillashaw,Striker,9.14,6.96
Clay Collard,Hybrid Striker,9.05,24.09
Alan Jouban,Hybrid Striker,9.03,17.49
Horacio Gutierrez,Hybrid Striker,9,31
Louis Gaudinot,Hybrid Striker,9,31
Polo Reyes,Hybrid Striker,8.86,18.93
Josh Emmett,Striker,8.85,28.41
Jessica Eye,Striker,8.84,19.35
Max Holloway,Striker,8.75,5.24
Ivan Jorge,Hybrid Striker,8.7,32.4
Lauren Mueller,Hybrid Striker,8.64,174.61
James Krause,Hybrid Striker,8.63,20.46
Anna Elmose,Hybrid Striker,8.6,684.71
Willie Gates,Hybrid Striker,8.55,100.89
Rory MacDonald,Hybrid Grappler,8.51,711.5
Tim Means,Hybrid Striker,8.44,8.96
Tarec Saffiedine,Hybrid Striker,8.39,11.24
Donald Cerrone,Hybrid Grappler,8.37,4.52
Evan Dunham,Hybrid Striker,8.36,5.89
Robert Peralta,Hybrid Striker,8.34,55
Brian Ortega,Hybrid Grappler,8.33,47.24
Matt Mitrione,Hybrid Striker,8.33,181.61
Henry Briones,Hybrid Striker,8.32,179
Rob Wilkinson,Hybrid Striker,8.29,251.63
Roy Nelson,Striker,8.13,19.2
Reza Madadi,Hybrid Striker,8.04,149
Azunna Anyanwu,Hybrid Striker,8,15
Todd Duffee,Hybrid Striker,8,15
Ricardo Abreu,Hybrid Striker,7.93,271.73
Josh Koscheck,Hybrid Striker,7.86,149
Mackenzie Dern,Hybrid Striker,7.84,46.06
William Patolino,Hybrid Striker,7.8,31
Rony Jason,Hybrid Striker,7.76,53.1
Nick Hein,Grappler,7.76,0.08
Alexander Volkov,Striker,7.75,74.59
Cynthia Calvillo,Hybrid Grappler,7.66,11.49
John Lineker,Hybrid Striker,7.64,23.23
Cub Swanson,Hybrid Striker,7.61,15.82
Casey Kenney,Hybrid Striker,7.57,28.63
Kelvin Gastelum,Hybrid Striker,7.54,6.41
Teruto Ishihara,Hybrid Striker,7.51,23.52
Song Yadong,Hybrid Striker,7.5,23
Hayder Hassan,Hybrid Striker,7.5,23
Aleksandar Rakic,Striker,7.46,47
Shamil Abdurakhimov,Hybrid Striker,7.46,34.36
Tae Hyun Bang,Hybrid Striker,7.41,103
Gasan Umalatov,Hybrid Striker,7.41,29.16
Magomed Mustafaev,Hybrid Striker,7.35,1199
Raquel Pennington,Hybrid Grappler,7.35,22.73
Diego Sanchez,Hybrid Striker,7.35,14.76
Daniel Teymur,Hybrid Striker,7.32,67.57
Maryna Moroz,Grappler,7.29,58.81
Dominick Cruz,Striker,7.28,68.19
Joe Duffy,Hybrid Striker,7.26,285.96
Jose Torres,Hybrid Striker,7.22,162.64
Robert Whittaker,Hybrid Striker,7.17,10.33
Eddie Alvarez,Striker,7.16,18.4
Bryan Caraway,Hybrid Striker,7.15,15.61
Oliver Enkamp,Hybrid Striker,7.13,368.23
Francis Ngannou,Hybrid Grappler,7.06,299
Jeff Hughes,Striker,7,7
Kyler Phillips,Striker,7,7
Abu Azaitar,Hybrid Striker,7,23
Bojan Mihajlovic,Hybrid Striker,7,45.75
Igor Pokrajac,Hybrid Striker,7,31
Marcin Bandel,Hybrid Striker,7,23
Jordan Espinosa,Grappler,7,31
Anthony Pettis,Hybrid Striker,7,26.54
Zak Ottow,Hybrid Grappler,6.97,33.9
Joseph Benavidez,Hybrid Grappler,6.94,9.88
Carlos Condit,Hybrid Striker,6.93,117.42
Sergio Pettis,Hybrid Grappler,6.9,8.11
Drakkar Klose,Hybrid Grappler,6.81,28.36
Abner Lloveras,Hybrid Grappler,6.8,23
Mickael Lebout,Hybrid Grappler,6.8,27.02
Yushin Okami,Grappler,6.8,31
Ben Rothwell,Striker,6.79,71
Anthony Smith,Hybrid Striker,6.77,33.07
Alessio Di Chirico,Hybrid Grappler,6.77,33.45
Vitor Belfort,Striker,6.74,470.43
Zubaira Tukhugov,Hybrid Grappler,6.73,78.21
Luan Chagas,Hybrid Grappler,6.72,24.7
Elizabeth Phillips,Hybrid Grappler,6.64,13.12
