Name,estimated_minutes,submission_wins_final,ko_tko_wins_final,StrikingAttemptsToGrapplingAttempts_Ratio,PercentRank_StrikingtoGrappingAttemps_Ratio,StrikingToGrapplingTime_Ratio,PercentRank_StrikingToGrappingTime_Ratio,manual_stat_entry,classification
Aaron Phillips,30,0,0,1.33,0.2,110.63,0.85,0,Grappler
Abdul Razak Alhassan,35,0,0,14.77,0.86,209,0.91,0,Striker
Abdul-Kerim Edilov,10,0,0,5.5,0.63,15,0.3,0,Grappler
Abel Trujillo,75,0,0,5.8,0.65,17.11,0.37,0,Grappler
Abner Lloveras,15,0,0,6.8,0.7,23,0.44,0,Grappler
Abu Azaitar,15,0,0,7,0.71,23,0.44,0,Striker
Adam Antolin,15,9,2,0,0,23,0.44,1,Grappler
Adam Milstead,35,0,0,34.71,0.94,55,0.77,0,Striker
Adam Wieczorek,25,0,0,3.49,0.47,49.85,0.75,0,Grappler
Adam Yandiev,10,0,0,0,0,15,0.3,0,Grappler
Adriano Martins,60,0,0,11.31,0.81,38.89,0.67,0,Striker
Aiemann Zahabi,30,0,0,22.6,0.9,47,0.72,0,Striker
Aisling Daly,35,0,0,1.9,0.26,19.95,0.41,0,Grappler
Akbarh Arreola,45,0,0,4.74,0.58,124.58,0.86,0,Grappler
Akira Corassani,20,0,0,80.5,0.98,31,0.59,0,Striker
Al Iaquinta,105,1,7,9.99,0.78,47.84,0.74,1,Striker
Alan Jouban,105,0,0,9.03,0.77,17.49,0.38,0,Striker
Alan Omer,30,0,0,4,0.52,47,0.72,0,Grappler
Alan Patrick,85,0,0,1.98,0.28,4.1,0.05,0,Grappler
Albert Cheng,5,1,2,0,0,7,0.11,1,Grappler
Albert Morales,80,0,0,9.91,0.78,27.36,0.57,0,Striker
Albert Tumenov,85,0,0,5.23,0.61,20.54,0.42,0,Grappler
Alberto Mina,45,0,0,3.97,0.52,39.6,0.69,0,Grappler
Alberto Uda,15,0,0,5,0.6,137.46,0.87,0,Grappler
Alejandro Perez,105,0,0,3.83,0.5,53.31,0.76,0,Grappler
Aleksandar Rakic,30,1,9,7.46,0.73,47,0.72,1,Striker
Aleksy Kunchenko,15,1,13,0,0,23,0.44,1,Striker
Alessandro Ricci,20,0,0,16.86,0.87,31,0.59,0,Striker
Alessio Di Chirico,60,0,0,6.77,0.7,33.45,0.65,0,Grappler
Alex Caceres,155,1,18,12.32,0.82,21.48,0.42,1,Striker
Alex Chambers,55,0,0,6.55,0.69,20.38,0.41,0,Grappler
Alex Garcia,105,0,0,3.37,0.46,3.37,0.04,0,Grappler
Alex Morono,75,0,0,10.69,0.8,138.53,0.88,0,Striker
Alex Nicholson,35,0,0,50.13,0.96,108.8,0.85,0,Striker
Alex Oliveira,140,0,0,2.95,0.42,3.02,0.03,0,Grappler
Alex Perez,35,6,4,2.82,0.4,9.04,0.2,1,Grappler
Alex Reyes,5,0,0,0,0,7,0.11,0,Grappler
Alex White,95,0,0,11.72,0.82,18.26,0.39,0,Striker
Alexa Grasso,50,0,4,14.58,0.86,299,0.92,1,Striker
Alexander Gustafsson,80,3,11,3.86,0.5,11.77,0.26,1,Striker
Alexander Hernandez,20,2,4,4.67,0.57,31,0.59,1,Striker
Alexander Volkanovski,65,3,11,1.91,0.27,6.9,0.11,1,Striker
Alexander Volkov,80,3,20,7.75,0.74,74.59,0.81,1,Striker
Alexander Yakovlev,75,0,0,5.28,0.62,17.2,0.38,0,Grappler
Alexandra Albu,25,0,0,37,0.95,39,0.67,0,Striker
Alexandre Pantoja,60,8,7,6.17,0.68,12.51,0.27,1,Grappler
ALEXEY OLEYNIK,60,45,8,2.7,0.37,47.24,0.74,1,Grappler
Alexis Davis,85,8,2,3.03,0.43,9.55,0.21,1,Grappler
Alexis Dufresne,30,0,0,1.1,0.18,11.88,0.26,0,Grappler
Alfred Khashakyan,5,0,0,0,0,7,0.11,0,Grappler
Ali Bagautinov,85,0,0,2.92,0.42,9.73,0.21,0,Grappler
Alistair Overeem,115,17,23,1.99,0.28,4.23,0.06,1,Striker
Aljamain Sterling,145,7,2,2.46,0.34,1.69,0.01,1,Grappler
Allan Zuniga,15,0,0,0,0,23,0.44,0,Grappler
Allen Crowder,20,0,0,1.56,0.23,12.81,0.28,0,Grappler
Alonzo Menifield,5,0,0,17,0.87,7,0.11,0,Striker
Alptekin Ozkilic,35,0,0,11.04,0.81,16.16,0.37,0,Striker
Alton Cunningham,5,0,0,0,0,7,0.11,0,Grappler
Alvaro Herrera,25,0,0,22,0.9,399,0.94,0,Striker
Amanda Cooper,40,0,0,2.53,0.35,8.24,0.18,0,Grappler
Amanda Lemos,10,0,0,0,0,15,0.3,0,Grappler
Amanda Nunes,100,3,13,1.92,0.27,7.52,0.17,1,Striker
Amir Sadollah,15,0,0,0,0,23,0.44,0,Grappler
An Ying Wang,10,0,0,23.5,0.91,65.67,0.8,0,Striker
Anderson Silva,80,8,23,61.06,0.97,1370.43,0.98,1,Striker
Andre Ewell,15,0,0,0,0,23,0.44,0,Grappler
Andre Fili,125,0,0,4.33,0.55,5.43,0.08,0,Grappler
Andre Soukhamthath,55,0,0,5.84,0.65,39,0.67,0,Grappler
Andrea Lee,15,4,2,0,0,23,0.44,1,Grappler
Andreas Stahl,20,0,0,44.33,0.95,31,0.59,0,Striker
Andrei Arlovski,150,0,0,9.83,0.77,50.72,0.76,0,Striker
Andrew Craig,25,0,0,2.24,0.31,999,0.97,0,Grappler
Andrew Holbrook,45,0,0,1.83,0.25,7.77,0.17,0,Grappler
Andrew Sanchez,75,0,0,2.26,0.32,5.17,0.08,0,Grappler
Andy Enz,35,0,0,172.25,0.99,599,0.95,0,Striker
Andy Ogle,35,0,0,3.47,0.47,31.18,0.64,0,Grappler
Angel De Anda,5,0,0,0,0,7,0.11,0,Grappler
Angela Hill,110,0,0,12.09,0.82,65.5,0.8,0,Striker
Angela Magana,40,0,0,32.8,0.94,289.91,0.92,0,Striker
Anna Elmose,20,0,0,8.6,0.76,684.71,0.96,0,Striker
Anthony Birchak,30,0,0,4.35,0.55,46.37,0.71,0,Grappler
Anthony Christodoulou,25,0,0,19,0.88,39,0.67,0,Striker
Anthony Hamilton,85,0,0,2.14,0.3,3.33,0.04,0,Grappler
Anthony Johnson,70,0,16,5.52,0.63,17.92,0.39,1,Striker
Anthony Lapsley,5,16,0,0,0,7,0.11,1,Grappler
Anthony Njokuani,30,0,0,21,0.89,47,0.72,0,Striker
Anthony Perosh,15,0,0,1.11,0.18,10.76,0.23,0,Grappler
Anthony Pettis,145,7,11,7,0.71,26.54,0.56,1,Striker
Anthony Smith,90,12,17,6.77,0.7,33.07,0.65,1,Striker
Anton Berzin,15,0,0,0,0,23,0.44,0,Grappler
Anton Zafir,10,0,0,2.67,0.37,24,0.55,0,Grappler
Antonio Braga Neto,30,0,0,1.16,0.18,15.98,0.36,0,Grappler
Antonio Carlos Jr.,115,8,0,1.99,0.28,1.5,0,1,Grappler
Antonio Dos Santos,15,0,0,15,0.86,155.52,0.89,0,Striker
Antonio Silva,35,2,15,26.78,0.92,55,0.77,1,Striker
Ariel Beck,10,0,0,0,0,15,0.3,0,Grappler
Arjan Bhullar,25,0,0,3.43,0.46,39.96,0.7,0,Grappler
Arnold Allen,60,4,5,4.36,0.56,25.37,0.56,1,Striker
Artem Lobov,100,2,4,11,0.81,13.13,0.28,1,Striker
Ashkan Mokhtarian,30,0,0,2.64,0.36,109.77,0.85,0,Grappler
Ashlee Evans-Smith,70,0,0,5.9,0.66,13.8,0.29,0,Grappler
Ashley Yoder,45,0,0,4.01,0.52,13.5,0.29,0,Grappler
Aspen Ladd,15,1,5,2.1,0.3,30.3,0.59,1,Striker
Augusto Mendes,35,0,0,18.17,0.88,239,0.91,0,Striker
Augusto Montano,35,0,0,10.63,0.8,114.07,0.86,0,Striker
Augusto Sakai,15,0,10,22,0.9,23,0.44,1,Striker
Austin Arnett,40,0,0,107.5,0.99,563.71,0.95,0,Striker
Azunna Anyanwu,10,0,0,8,0.74,15,0.3,0,Striker
Barb Honchak,25,0,0,40.17,0.95,284.71,0.92,0,Striker
Bartosz Fabinski,45,0,0,1.47,0.21,15.18,0.35,0,Grappler
Bec Rawlings,90,0,0,10.44,0.79,17.69,0.39,0,Striker
Belal Muhammad,95,0,0,4.44,0.56,9.15,0.21,0,Grappler
Ben Nguyen,55,5,8,5.23,0.61,11.8,0.26,1,Striker
Ben Rothwell,45,6,27,6.79,0.7,71,0.81,1,Striker
Ben Saunders,85,6,11,3.82,0.5,22.1,0.43,1,Striker
Ben Wall,5,0,0,0,0,7,0.11,0,Grappler
Beneil Dariush,135,0,0,4.31,0.55,2.34,0.02,0,Grappler
Benito Lopez,30,0,0,28,0.92,47,0.72,0,Striker
Benson Henderson,110,9,5,4.55,0.57,27.93,0.58,1,Grappler
Bentley Syler,15,0,0,0,0,23,0.44,0,Grappler
Bethe Correia,90,0,0,13.64,0.84,13.43,0.29,0,Striker
Bevon Lewis,15,0,0,6.13,0.67,53.55,0.76,0,Grappler
Bharat Kandare,5,0,0,0,0,7,0.11,0,Grappler
Bigfoot Silva,5,2,15,0,0,7,0.11,1,Striker
BJ Penn,40,6,7,2.7,0.37,63,0.79,1,Striker
Blagoy Ivanov,25,6,6,5.5,0.63,39,0.67,1,Grappler
Bobby Green,80,0,0,58.27,0.97,1036.84,0.97,0,Striker
Bobby Nash,25,0,0,5.66,0.64,19.13,0.4,0,Grappler
Bobby Voelker,15,0,0,0,0,23,0.44,0,Grappler
Bojan Mihajlovic,30,0,0,7,0.71,45.75,0.71,0,Striker
Bojan Velickovic,90,0,0,5.09,0.61,141.57,0.88,0,Grappler
Boston Salmon,15,0,0,0,0,23,0.44,0,Grappler
Brad Katona,15,0,0,0,0,23,0.44,0,Grappler
Brad Pickett,105,0,0,3.99,0.52,24.23,0.56,0,Grappler
Brad Tavares,145,2,5,12.4,0.83,21.99,0.43,1,Striker
Bradley Scott,75,0,0,13,0.83,24.97,0.56,0,Striker
Brandon Davis,70,0,0,25.9,0.92,49.76,0.75,0,Striker
Brandon Moreno,70,10,2,3.45,0.47,10.56,0.23,1,Grappler
Brandon Thatch,45,0,0,9.93,0.78,217.18,0.91,0,Striker
Brendan O'Reilly,50,0,0,2.35,0.33,15.34,0.36,0,Grappler
Brendan Schaub,20,1,7,1.62,0.23,31,0.59,1,Striker
Brett Johns,65,0,0,1.44,0.21,3.81,0.04,0,Grappler
Brian Camozzi,30,0,0,19.77,0.89,47,0.72,0,Striker
Brian Ebersole,20,0,0,2.74,0.38,29.97,0.59,0,Grappler
Brian Houston,15,0,0,0,0,23,0.44,0,Grappler
Brian Kelleher,55,0,0,5.46,0.63,28.33,0.58,0,Grappler
Brian Ortega,80,7,3,8.33,0.75,47.24,0.74,1,Grappler
Brock Lesnar,15,2,2,0,0,23,0.44,1,Grappler
Bruno Korea,15,0,0,0,0,23,0.44,0,Grappler
Bruno Santos,30,0,0,1.91,0.27,18.28,0.39,0,Grappler
Bryan Barberena,95,0,0,5.26,0.62,10.66,0.23,0,Grappler
Bryan Caraway,70,0,0,7.15,0.72,15.61,0.36,0,Striker
Bryce Mitchell,15,0,0,0,0,23,0.44,0,Grappler
Bubba Bush,20,0,0,4,0.52,31,0.59,0,Grappler
Bubba McDaniel,5,19,9,0,0,7,0.11,1,Grappler
Cain Carrizosa,20,0,0,3,0.42,31,0.59,0,Grappler
Cain Velasquez,20,0,12,28.71,0.93,103.35,0.85,1,Striker
Caio Magalhaes,30,0,0,5.39,0.62,2399,0.99,0,Grappler
Calvin Kattar,45,3,9,9.94,0.78,17.18,0.38,1,Striker
Carla Esparza,115,4,3,1.65,0.24,3.4,0.04,1,Grappler
Carlo Pedersoli,20,0,0,22.63,0.91,47,0.72,0,Striker
Carlos Candelario,15,0,0,0,0,23,0.44,0,Grappler
Carlos Condit,75,13,15,6.93,0.7,117.42,0.86,1,Striker
Carlos Diego Ferreira,5,0,0,0,0,7,0.11,0,Grappler
Carls John De Tomas,25,0,0,2.76,0.39,143.58,0.88,0,Grappler
Casey Kenney,30,0,0,7.57,0.73,28.63,0.58,0,Striker
Cat Zingano,65,3,5,1.38,0.2,6.36,0.1,1,Striker
Cathal Pendred,75,0,0,5.12,0.61,19.4,0.4,0,Grappler
CB Dollaway,80,3,6,2.62,0.36,4.29,0.06,1,Striker
Cesar Arzamendia,10,0,0,5.4,0.62,15,0.3,0,Grappler
Cezar Ferreira,105,0,0,2.27,0.32,2.52,0.02,0,Grappler
Chad Laprise,95,0,0,14.05,0.85,8.12,0.18,0,Striker
Chad Mendes,50,2,8,6.19,0.68,12.78,0.28,1,Striker
Chan Sung Jung,5,8,5,0,0,7,0.11,1,Grappler
Chance Rencountre,15,0,0,0,0,23,0.44,0,Grappler
Chanmi Jeon,30,0,0,126,0.99,47,0.72,0,Striker
Charles Byrd,20,0,0,1.55,0.23,15.49,0.36,0,Grappler
Charles Oliveira,120,18,7,1.9,0.26,7.21,0.16,1,Grappler
Charles Rosa,75,0,0,4.23,0.54,7,0.16,0,Grappler
Charlie Brenneman,20,0,0,2.17,0.31,82.48,0.82,0,Grappler
Charlie Ward,10,0,0,15,0.86,15,0.3,0,Striker
Chas Skelly,100,0,0,2.75,0.38,3.84,0.05,0,Grappler
Chase Sherman,85,0,0,22.34,0.9,149,0.88,0,Striker
Chase Waldon,5,0,0,0,0,7,0.11,0,Grappler
Cheyden Leialoha,15,0,0,0,0,23,0.44,0,Grappler
Chico Camus,75,0,0,3.75,0.49,2999,1,0,Grappler
Chris Avila,30,0,0,37.5,0.95,47,0.72,0,Striker
Chris Beal,70,0,0,3.35,0.46,11.72,0.26,0,Grappler
Chris Camozzi,115,0,0,5.6,0.64,13.91,0.29,0,Grappler
Chris Cariaso,70,0,0,9.95,0.78,53.9,0.76,0,Striker
Chris Clements,20,0,0,28,0.92,31,0.59,0,Striker
Chris de la Rocha,25,0,0,18,0.88,39,0.67,0,Striker
Chris Dempsey,30,0,0,6.04,0.67,101.86,0.85,0,Grappler
Chris Gruetzemacher,50,0,0,6.44,0.69,412.79,0.94,0,Grappler
Chris Heatherly,10,0,0,1.5,0.22,34.82,0.66,0,Grappler
Chris Holdsworth,15,0,0,0,0,23,0.44,0,Grappler
Chris Indich,20,0,0,21.67,0.89,31,0.59,0,Striker
Chris Kelades,60,0,0,1.67,0.24,11.87,0.26,0,Grappler
Chris Wade,85,0,0,2,0.29,4.15,0.05,0,Grappler
Chris Weidman,90,4,6,3.16,0.44,10.19,0.22,1,Striker
Christian Colombo,35,0,0,13.97,0.85,55,0.77,0,Striker
Christina Marks,5,0,0,0,0,7,0.11,0,Grappler
Christos Giagos,35,0,0,2.11,0.3,20.03,0.41,0,Grappler
Cindy Dandois,15,0,0,0,0,23,0.44,0,Grappler
CJ Hamilton,15,0,0,0,0,23,0.44,0,Grappler
Claudia Gadelha,120,7,2,3.5,0.47,3.41,0.04,1,Grappler
Claudio Puelles,25,0,0,11.33,0.81,427.57,0.94,0,Striker
Claudio Silva,35,0,0,1.52,0.22,8.06,0.18,0,Grappler
Clay Collard,60,0,0,9.05,0.77,24.09,0.55,0,Striker
Clay Guida,85,13,7,2.35,0.33,6.86,0.11,1,Grappler
Clint Hester,55,0,0,9.72,0.77,14.9,0.3,0,Striker
CM Punk,20,0,0,1.14,0.18,31,0.59,0,Grappler
Cody Donovan,5,0,0,0,0,7,0.11,0,Grappler
Cody East,15,0,0,62,0.97,104.88,0.85,0,Striker
Cody Garbrandt,85,0,9,10.22,0.79,55.67,0.78,1,Striker
Cody Gibson,45,0,0,5.9,0.66,37.16,0.67,0,Grappler
Cody Pfister,50,0,0,2.05,0.29,6.06,0.1,0,Grappler
Cody Stamann,55,2,6,3.39,0.46,7.58,0.17,1,Striker
Colby Covington,140,5,2,1.45,0.21,1.91,0.01,1,Grappler
Cole Miller,65,0,0,31.32,0.93,74.36,0.81,0,Striker
Colton Smith,5,0,0,0,0,7,0.11,0,Grappler
Conor McGregor,100,1,18,5.8,0.65,13.08,0.28,1,Striker
Corey Anderson,155,0,4,2.95,0.42,4.09,0.05,1,Striker
Cortney Casey,115,3,3,4.91,0.59,20.41,0.42,1,Grappler
Cory Hendricks,15,3,2,0,0,23,0.44,1,Grappler
Cory Sandhagen,20,3,4,4.07,0.53,48.74,0.75,1,Striker
Costas Philippou,25,0,0,101,0.98,39,0.67,0,Striker
Court McGee,65,0,0,3.82,0.5,15.35,0.36,0,Grappler
Craig White,20,0,0,14,0.85,31,0.59,0,Striker
Cris Cyborg,60,0,17,5.06,0.6,41.99,0.7,1,Striker
Cristiano Marcello,15,0,0,0,0,23,0.44,0,Grappler
Cristina Stanciu,20,0,0,4.63,0.57,28.63,0.58,0,Grappler
Cub Swanson,165,0,0,7.61,0.73,15.82,0.36,0,Striker
Cung Le,20,0,8,22,0.9,31,0.59,1,Striker
Curtis Blaydes,85,0,8,1.97,0.28,9.94,0.22,1,Striker
Curtis Millender,25,0,0,17.67,0.88,1499,0.98,0,Striker
Cynthia Calvillo,50,3,2,7.66,0.74,11.49,0.25,1,Grappler
Cyril Asker,30,0,0,1.58,0.23,20.88,0.42,0,Grappler
Cyrille Diabate,5,0,0,0,0,7,0.11,0,Grappler
Daichi Abe,45,0,0,17.06,0.87,1079,0.97,0,Striker
Damian Grabowski,25,0,0,1.67,0.24,39,0.67,0,Grappler
Damian Stasiak,80,0,0,4.42,0.56,4.72,0.07,0,Grappler
Damien Brown,70,0,0,3.29,0.45,41.59,0.7,0,Grappler
Damir Hadzovic,50,0,0,3.94,0.51,79,0.82,0,Grappler
Damon Jackson,30,0,0,4.77,0.58,60.54,0.79,0,Grappler
Dan Henderson,80,1,17,4.23,0.54,361.26,0.93,1,Striker
Dan Hooker,100,7,10,4.53,0.57,12.71,0.27,1,Striker
Dan Ige,35,0,0,4.04,0.53,32.47,0.65,0,Grappler
Dan Miller,15,9,1,0,0,23,0.44,1,Grappler
Dan Moret,10,0,0,0,0,15,0.3,0,Grappler
Daniel Cormier,140,5,10,2.27,0.32,2.34,0.02,1,Striker
Daniel Jolly,15,0,0,2.81,0.4,63.29,0.79,0,Grappler
Daniel Kelly,110,0,0,4.36,0.56,6.33,0.1,0,Grappler
Daniel Omielanczuk,105,0,0,2.92,0.42,63.29,0.79,0,Grappler
Daniel Pineda,15,0,0,0,0,23,0.44,0,Grappler
Daniel Sarafian,20,0,0,13.5,0.84,1599,0.99,0,Striker
Daniel Spitz,30,0,0,21.73,0.89,123.14,0.86,0,Striker
Daniel Spohn,20,0,0,3.33,0.45,87.89,0.83,0,Grappler
Daniel Teymur,30,0,0,7.32,0.72,67.57,0.8,0,Striker
Danielle Taylor,75,0,0,54.65,0.96,119,0.86,0,Striker
Danny Castillo,65,0,0,4.95,0.59,9.12,0.2,0,Grappler
Danny Henry,20,0,0,2.03,0.29,16.39,0.37,0,Grappler
Danny Martinez,60,0,0,13.66,0.84,46.84,0.71,0,Striker
Danny Mitchell,30,0,0,1.19,0.18,19.45,0.4,0,Grappler
Danny Roberts,70,0,0,16.59,0.87,41.64,0.7,0,Striker
Darko Stosic,5,0,0,17,0.87,7,0.11,0,Striker
Daron Cruickshank,85,0,0,4.79,0.58,16.56,0.37,0,Grappler
Darrell Horcher,40,0,0,2.68,0.37,26.27,0.56,0,Grappler
Darrell Montague,20,0,0,11.4,0.81,132.33,0.87,0,Striker
Darren Elkins,145,0,0,2.72,0.38,3.2,0.03,0,Grappler
Darren Stewart,55,0,0,5.95,0.66,33.74,0.65,0,Grappler
Darren Till,95,2,10,4.98,0.6,14.72,0.3,1,Striker
Dashon Johnson,20,0,0,4,0.52,207.7,0.91,0,Grappler
Dave Galera,15,0,0,0,0,23,0.44,0,Grappler
Davey Grant,35,0,0,2.46,0.34,7.53,0.17,0,Grappler
Davi Ramos,35,0,0,13.1,0.84,39.48,0.69,0,Striker
David Branch,30,7,6,5.62,0.64,26.59,0.56,1,Grappler
David Michaud,45,0,0,2.75,0.38,27.72,0.57,0,Grappler
David Teymur,65,0,0,11.12,0.81,89.17,0.83,0,Striker
David Zawada,15,0,0,0,0,23,0.44,0,Grappler
DeAnna Bennett,15,0,0,0,0,23,0.44,0,Grappler
Deiveson Figueiredo,45,5,8,1.83,0.25,6.76,0.11,1,Striker
Demetrious Johnson,180,12,5,3.89,0.51,4.18,0.06,1,Grappler
Demian Maia,180,13,3,1.3,0.19,1.13,0,1,Grappler
Dennis Bermudez,125,0,0,2.91,0.41,4.06,0.05,0,Grappler
Dennis Siver,55,7,7,2.66,0.37,8.52,0.19,1,Grappler
Derek Brunson,85,3,11,2.28,0.32,1.89,0.01,1,Striker
Derrick Lewis,170,1,18,1.97,0.28,4.85,0.07,1,Striker
Desmond Green,75,0,0,12.34,0.82,62.83,0.79,0,Striker
Devin Clark,60,0,0,2.81,0.4,10.21,0.22,0,Grappler
Devin Powell,35,0,0,5.68,0.64,94.45,0.84,0,Grappler
Dhiego Lima,55,0,0,1.49,0.22,6.54,0.11,0,Grappler
Diego Brandao,30,0,0,2.55,0.35,27.35,0.57,0,Grappler
Diego Ferreira,50,0,0,5.21,0.61,49,0.75,0,Grappler
Diego Rivas,55,0,0,1.95,0.27,10.57,0.23,0,Grappler
Diego Sanchez,105,6,10,7.35,0.72,14.76,0.3,1,Striker
Dileno Lopes,30,0,0,3.24,0.45,65.06,0.8,0,Grappler
Dmitrii Smoliakov,15,0,0,4.13,0.53,23,0.44,0,Grappler
Dmitry Sosnovskiy,10,0,0,0,0,15,0.3,0,Grappler
Dom Pilarte,10,0,0,0,0,15,0.3,0,Grappler
Dominic Waters,35,0,0,2.77,0.39,16.21,0.37,0,Grappler
Dominick Cruz,80,1,7,7.28,0.72,68.19,0.8,1,Striker
Dominick Reyes,30,2,6,1.99,0.28,31,0.59,1,Striker
Dominique Steele,65,0,0,2.17,0.31,27.01,0.57,0,Grappler
Donald Cerrone,185,17,10,8.37,0.75,4.52,0.06,1,Grappler
Donavon Frelow,15,0,0,0,0,23,0.44,0,Grappler
Dong Hyun Kim,135,2,9,2.53,0.35,20.39,0.41,1,Striker
Dongi Yang,10,0,0,22,0.9,15,0.3,0,Striker
Don'Tale Mayes,15,0,0,0,0,23,0.44,0,Grappler
Dooho Choi,40,0,0,4.58,0.57,1919,0.99,0,Grappler
Douglas Silva de Andrade,70,0,0,29.59,0.93,73.01,0.81,0,Striker
Drakkar Klose,60,0,0,6.81,0.7,28.36,0.58,0,Grappler
Drew Dober,100,0,0,5.24,0.61,8.75,0.19,0,Grappler
Dustin Kimura,35,0,0,2.52,0.35,55,0.77,0,Grappler
Dustin Ortiz,155,4,8,2.05,0.29,1.71,0.01,1,Striker
Dustin Poirier,120,7,12,5.97,0.66,10.99,0.24,1,Striker
Dylan Andrews,15,0,0,1.36,0.2,81.76,0.82,0,Grappler
Ed Herman,55,13,7,6.01,0.67,46.65,0.71,1,Grappler
Eddie Alvarez,95,6,17,7.16,0.72,18.4,0.4,1,Striker
Eddie Gordon,45,0,0,1.98,0.28,10.51,0.23,0,Grappler
Eddie Wineland,80,0,0,6.35,0.68,39,0.67,0,Grappler
Edgar Garcia,10,0,0,1.47,0.21,32.33,0.64,0,Grappler
Edson Barboza,145,1,12,31.89,0.94,51.41,0.76,1,Striker
Efrain Escudero,65,0,0,2.25,0.31,9.28,0.21,0,Grappler
Elias Garcia,10,0,0,0,0,15,0.3,0,Grappler
Elias Silverio,60,0,0,3.49,0.47,7.1,0.16,0,Grappler
Elias Theodorou,125,0,0,3.67,0.49,11.33,0.25,0,Grappler
Elias Urbina,10,0,0,0,0,15,0.3,0,Grappler
Elizabeth Phillips,60,0,0,6.64,0.69,13.12,0.28,0,Grappler
Elizeu Zaleski dos Santos,90,0,0,12.41,0.83,23.57,0.55,0,Striker
Elvis Mutapcic,40,0,0,4.19,0.54,354.56,0.93,0,Grappler
Emil Meek,45,0,0,2.14,0.3,11.03,0.24,0,Grappler
Emily Peters Kagan,25,0,0,9.42,0.77,39,0.67,0,Striker
Emily Whitmire,20,0,0,4,0.52,599,0.95,0,Grappler
Enrique Barzola,90,0,0,1.87,0.26,2.87,0.03,0,Grappler
Enrique Marin,30,0,0,9.27,0.77,62.16,0.79,0,Striker
Eric Shelton,60,0,0,2.05,0.29,16.89,0.37,0,Grappler
Eric Spicely,45,0,0,1.34,0.2,17.15,0.38,0,Grappler
Erick Montano,35,0,0,5.38,0.62,26.86,0.57,0,Grappler
Erick Silva,95,0,0,2.85,0.41,7.31,0.16,0,Grappler
Ericka Almeida,30,0,0,2.64,0.36,166.44,0.89,0,Grappler
Erik Koch,50,0,0,2.74,0.38,24,0.55,0,Grappler
Erik Perez,55,0,0,2.3,0.32,10.19,0.22,0,Grappler
Ernest Chavez,35,0,0,5.02,0.6,36,0.66,0,Grappler
Eryk Anders,75,0,0,2.49,0.34,12.97,0.28,0,Grappler
Estevan Payan,5,0,0,0,0,7,0.11,0,Grappler
Evan Dunham,95,0,0,8.36,0.75,5.89,0.09,0,Striker
Everett Sims,15,0,0,0,0,23,0.44,0,Grappler
Fabio Maldonado,60,0,0,5.46,0.62,57.54,0.78,0,Grappler
Fabricio Camoes,5,0,0,0,0,7,0.11,0,Grappler
Fabricio Werdum,135,11,6,4.86,0.59,10.99,0.24,1,Grappler
Felice Herrig,105,4,1,3.35,0.46,5.24,0.08,1,Grappler
Felipe Arantes,85,0,0,3.36,0.46,11.84,0.26,0,Grappler
Felipe Olivieri,15,0,0,0,0,23,0.44,0,Grappler
Felipe Silva,25,0,0,3.81,0.5,999,0.97,0,Grappler
Fernando Bruno,30,0,0,3.2,0.44,76.42,0.81,0,Grappler
Filip Pejic,5,0,0,0,0,7,0.11,0,Grappler
Francimar Barroso,105,0,0,3.08,0.44,11.09,0.24,0,Grappler
Francis Carmont,40,0,0,3.45,0.47,341.86,0.93,0,Grappler
Francis Ngannou,80,10,4,7.06,0.71,299,0.92,1,Grappler
Francisco Rivera,65,0,0,10.76,0.8,231.84,0.91,0,Striker
Francisco Trevino,35,0,0,5.93,0.66,70.79,0.81,0,Grappler
Francisco Trinaldo,175,0,0,4.46,0.56,4.54,0.06,0,Grappler
Frank Camacho,55,0,0,21.82,0.9,55.41,0.78,0,Striker
Frank Mir,45,9,5,4.32,0.55,39.6,0.69,1,Grappler
Frankie Edgar,140,4,7,2.06,0.29,3.44,0.04,1,Striker
Frankie Perez,50,0,0,2.85,0.4,47.58,0.74,0,Grappler
Frankie Saenz,110,0,0,3.66,0.49,5.73,0.09,0,Grappler
Fredy Serrano,50,0,0,4,0.52,57.68,0.78,0,Grappler
Gabriel Benitez,70,0,0,4.76,0.58,5.79,0.09,0,Grappler
Gabriel Gonzaga,55,7,9,3.17,0.44,14.07,0.29,1,Striker
Gadzhimurad Antigulov,15,0,0,1.33,0.2,65.67,0.8,0,Grappler
Galore Bofando,10,0,0,5,0.6,15,0.3,0,Grappler
Garett Whiteley,30,0,0,2.87,0.41,104.88,0.85,0,Grappler
Garreth McLellan,60,0,0,1.49,0.22,115.6,0.86,0,Grappler
Gasan Umalatov,60,0,0,7.41,0.73,29.16,0.58,0,Striker
Gavin Tucker,30,0,0,168,0.99,47,0.72,0,Striker
Geane Herrera,55,0,0,3.1,0.44,137.95,0.88,0,Grappler
Gegard Mousasi,120,12,26,2.32,0.33,2.6,0.02,1,Striker
Geoff Neal,20,0,0,4.21,0.54,479,0.95,0,Grappler
George Roop,35,0,0,2.13,0.3,55,0.77,0,Grappler
George Sullivan,75,0,0,3.41,0.46,6.46,0.1,0,Grappler
Georges St. Pierre,15,8,6,0,0,23,0.44,1,Grappler
Gerald Meerschaert,40,0,0,4.31,0.55,56.49,0.78,0,Grappler
Germaine de Randamie,40,0,4,206,0.99,1599,0.99,1,Striker
Gian Villante,145,0,0,12.13,0.82,14.33,0.3,0,Striker
