Name,estimated_minutes,submission_wins_final,ko_tko_wins_final,StrikingAttemptsToGrapplingAttempts_Ratio,PercentRank_StrikingtoGrappingAttemps_Ratio,StrikingToGrapplingTime_Ratio,PercentRank_StrikingToGrappingTime_Ratio,manual_stat_entry,classification
Kyung Ho Kang,50,11,2,1.32,0.19,0.04,0,1,Grappler
Lance Benoist,15,0,0,0,0,23,0.44,0,Grappler
Lando Vannata,60,0,0,14.09,0.85,2.82,0.03,0,Striker
Larissa Pacheco,15,0,0,1.8,0.25,23,0.44,0,Grappler
Lauren Mueller,30,0,0,8.64,0.76,174.61,0.9,0,Striker
Lauren Murphy,90,0,7,2.12,0.3,11.1,0.24,1,Striker
Lazar Stojadinovic,10,0,0,0,0,15,0.3,0,Grappler
Leandro Issa,65,0,0,2.75,0.39,8.98,0.2,0,Grappler
Leandro Silva,90,0,0,3.15,0.44,5.7,0.09,0,Grappler
Leo Kuntz,25,0,0,10,0.78,1999,0.99,0,Striker
Leon Edwards,150,3,6,3.28,0.45,4.96,0.07,1,Striker
Leonardo Augusto Leleco,30,0,0,2.28,0.32,47,0.72,0,Grappler
Leonardo Mafra,30,0,0,2.72,0.38,22.04,0.43,0,Grappler
Leonardo Morales,20,0,0,4.4,0.56,27.57,0.57,0,Grappler
Leonardo Santos,60,0,0,4.48,0.57,11.18,0.25,0,Grappler
Leslie Smith,75,0,0,44.43,0.96,2570.43,0.99,0,Striker
Levan Makashvili,45,0,0,1.91,0.27,24.12,0.55,0,Grappler
Lewis Gonzalez,15,0,0,0,0,23,0.44,0,Grappler
Li Jingliang,115,0,0,5.53,0.63,186.12,0.9,0,Grappler
Lina Lansberg,65,0,4,12.63,0.83,59.47,0.78,1,Striker
Lipeng Zhang,30,0,0,1.25,0.19,74,0.81,0,Grappler
Lisa Ellis,15,0,0,0.91,0.17,29.64,0.59,0,Grappler
Liu Pingyuan,15,0,0,0,0,23,0.44,0,Grappler
Livinha Souza,5,0,0,0,0,7,0.11,0,Grappler
Liz Carmouche,75,2,6,2.77,0.39,8.65,0.19,1,Striker
Lorenz Larkin,85,0,0,13.61,0.84,43.25,0.7,0,Striker
Louis Gaudinot,20,0,0,9,0.76,31,0.59,0,Striker
Louis Smolka,130,0,0,2.95,0.42,4.59,0.06,0,Grappler
Luan Chagas,50,0,0,6.72,0.69,24.7,0.56,0,Grappler
Lucas Martins,55,0,0,35.61,0.94,2199,0.99,0,Striker
Lucie Pudilova,60,0,0,11.57,0.82,31.88,0.64,0,Striker
Luigi Vendramini,10,0,0,0,0,15,0.3,0,Grappler
Luis Gomez Alvarez,15,0,0,0,0,23,0.44,0,Grappler
Luis Henrique,80,0,0,1.47,0.21,8,0.17,0,Grappler
Luis Pena,5,0,0,0,0,7,0.11,0,Grappler
Luiz Dutra,10,0,0,25,0.91,15,0.3,0,Striker
Lukasz Sajewski,30,0,0,75,0.98,47,0.72,0,Striker
Luke Barnatt,50,0,0,57.47,0.97,154.84,0.89,0,Striker
Luke Jumeau,45,0,0,16.94,0.87,2699,1,0,Striker
Luke Rockhold,80,8,6,2.06,0.3,6.14,0.1,1,Grappler
Luke Sanders,45,2,7,2.56,0.36,18.35,0.39,1,Striker
Luke Zachrich,25,0,0,248,1,39,0.67,0,Striker
Lyman Good,25,0,0,5.75,0.65,199,0.91,0,Grappler
Lyoto Machida,120,2,11,13.35,0.84,19.48,0.41,1,Striker
Mackenzie Dern,20,0,0,7.84,0.74,46.06,0.71,0,Striker
Mads Burnell,45,0,0,1.88,0.26,33.56,0.65,0,Grappler
Magnus Cedenblad,45,0,0,1.5,0.22,4.76,0.07,0,Grappler
Magomed Ankalaev,20,0,0,1.87,0.26,15.3,0.35,0,Grappler
Magomed Bibulatov,20,0,0,1.54,0.23,10.5,0.23,0,Grappler
Magomed Mustafaev,25,0,0,7.35,0.73,1199,0.97,0,Striker
Maia Stevenson,5,0,0,0,0,7,0.11,0,Grappler
Mairbek Taisumov,80,9,15,4.34,0.55,127,0.87,1,Striker
Makwan Amirkhani,55,0,0,1.14,0.18,9.05,0.2,0,Grappler
Manny Bermudez,15,0,0,1.34,0.2,31.73,0.64,0,Grappler
Manny Vazquez,15,0,0,0,0,23,0.44,0,Grappler
Manvel Gamburyan,55,0,0,3.88,0.51,14.17,0.29,0,Grappler
Mara Romero Borella,20,4,3,1.06,0.17,29,0.58,1,Grappler
Marc Diakiese,75,1,6,3.91,0.51,12.14,0.27,1,Striker
