Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Alex White,95,1,2,3469.0,1505.0,3119.0,1197.0,2359.0,1040.0,247.0,219.0,5.0,44.0,18.0,104.0,22.0,4.933333333333334,296.0,90.06666666666666,11.719594594594595,18.256756756756754
Alexa Grasso,50,0,0,1254.0,657.0,971.0,419.0,1091.0,507.0,78.0,66.0,2.0,6.0,3.0,56.0,16.0,0.16666666666666666,86.0,49.833333333333336,14.581395348837209,299.00000000000006
Alexander Gustafsson,80,0,2,1041.0,589.0,840.0,404.0,1302.0,638.0,243.0,215.0,0.0,27.0,10.0,50.0,20.0,6.2625,270.0,73.7375,3.8555555555555556,11.774451097804391
Alexander Hernandez,20,0,1,14.0,9.0,13.0,8.0,1526.0,751.0,3.0,3.0,0.0,0.0,0.0,94.0,30.0,0.625,3.0,19.375,4.666666666666667,31.0
Alexander Volkanovski,65,0,2,1173.0,762.0,1069.0,670.0,1640.0,675.0,549.0,400.0,0.0,64.0,36.0,125.0,55.0,8.225,613.0,56.775,1.9135399673735727,6.90273556231003
Alexander Volkov,80,0,2,1791.0,1123.0,1478.0,864.0,2695.0,1364.0,217.0,186.0,0.0,14.0,10.0,89.0,30.0,1.0583333333333333,231.0,78.94166666666666,7.753246753246753,74.59055118110236
Alexander Yakovlev,75,1,1,987.0,479.0,910.0,417.0,1502.0,558.0,122.0,93.0,0.0,65.0,15.0,92.0,30.0,4.120833333333334,187.0,70.87916666666666,5.278074866310161,17.20020222446916
Alexandra Albu,25,0,1,74.0,53.0,62.0,42.0,439.0,182.0,0.0,0.0,1.0,1.0,0.0,10.0,8.0,0.625,2.0,24.375,37.0,39.0
Alexandre Pantoja,60,1,0,962.0,512.0,800.0,368.0,1876.0,758.0,134.0,116.0,10.0,12.0,6.0,108.0,36.0,4.441666666666666,156.0,55.55833333333334,6.166666666666667,12.50844277673546
Alexis Davis,85,2,0,2268.0,1369.0,1500.0,652.0,1608.0,648.0,703.0,638.0,13.0,33.0,17.0,54.0,20.0,8.054166666666667,749.0,76.94583333333333,3.02803738317757,9.553543714433522
Alexis Dufresne,30,0,0,86.0,65.0,28.0,12.0,0.0,0.0,75.0,60.0,0.0,3.0,3.0,0.0,0.0,2.3291666666666666,78.0,27.670833333333334,1.1025641025641026,11.880143112701253
Alfred Khashakyan,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Ali Bagautinov,85,0,0,1415.0,732.0,1100.0,456.0,1220.0,534.0,379.0,297.0,4.0,102.0,35.0,32.0,17.0,7.91875,485.0,77.08125,2.917525773195876,9.734017363851617
Alistair Overeem,115,0,4,3458.0,2825.0,2483.0,1921.0,2860.0,1379.0,1680.0,1482.0,4.0,54.0,13.0,105.0,43.0,22.008333333333333,1738.0,92.99166666666667,1.9896432681242808,4.225293449450966
Aljamain Sterling,145,3,1,7349.0,4692.0,5054.0,2527.0,3272.0,1270.0,2641.0,2271.0,57.0,289.0,124.0,113.0,47.0,53.84583333333333,2987.0,91.15416666666667,2.460328088382993,1.6928731718641183
Allan Zuniga,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Allen Crowder,20,0,1,112.0,78.0,72.0,45.0,91.0,52.0,65.0,56.0,1.0,6.0,2.0,4.0,3.0,1.4479166666666667,72.0,18.552083333333332,1.5555555555555556,12.81294964028777
Alonzo Menifield,5,0,1,0.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.625,1.0,4.375,0.0,7.0
Alptekin Ozkilic,35,0,0,629.0,220.0,616.0,208.0,54.0,27.0,25.0,14.0,0.0,32.0,19.0,0.0,0.0,2.0395833333333333,57.0,32.96041666666667,11.035087719298245,16.160367722165475
Alton Cunningham,5,0,0,0.0,0.0,0.0,0.0,97.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,4.375,0.0,7.0
Alvaro Herrera,25,1,1,88.0,40.0,86.0,38.0,300.0,123.0,3.0,3.0,1.0,0.0,0.0,10.0,2.0,0.0625,4.0,24.9375,22.0,399.0
Amanda Cooper,40,2,1,909.0,472.0,648.0,265.0,322.0,121.0,334.0,262.0,12.0,14.0,7.0,14.0,2.0,4.33125,360.0,35.66875,2.525,8.235209235209236
Amanda Lemos,10,0,0,0.0,0.0,0.0,0.0,991.0,376.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.625,1.0,9.375,0.0,15.0
Amanda Nunes,100,2,3,1674.0,1057.0,1339.0,790.0,1828.0,871.0,809.0,579.0,16.0,46.0,17.0,91.0,36.0,11.733333333333333,871.0,88.26666666666667,1.9219288174512055,7.522727272727273
Amir Sadollah,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
An Ying Wang,10,0,1,47.0,15.0,45.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15,2.0,9.85,23.5,65.66666666666667
