Name,estimated_minutes,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Significant Strikes Landed per Minute,Str. Acc. - Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (% of Opponents Strikes Missed),Average Takedowns Landed per minute,TD Acc. - Takedown Accuracy,Takedown Defense (% of opponents TD attempts missed),Sub. Avg. - Average Submissions Attempted per minute
Noad Lahat,45,366.0,173.0,86.0,38.0,1.0,31.0,9.0,3.0,2.0,3.8444444444444446,0.4726775956284153,0.8444444444444444,1.0666666666666667,1.9111111111111112,0.2903225806451613,0.3333333333333333,0.022222222222222223
Nolan Ticman,20,8.0,3.0,67.0,27.0,0.0,1.0,0.0,0.0,0.0,0.15,0.375,1.35,2.0,3.35,0.0,0.0,0.0
Nordine Taleb,105,2703.0,1514.0,1647.0,718.0,0.0,114.0,90.0,54.0,16.0,14.41904761904762,0.5601183869774324,6.838095238095238,8.847619047619048,15.685714285714285,0.7894736842105263,0.7037037037037037,0.0
Norifumi Yamamoto,10,0.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,0.6,0.0,1.0,0.0
Norman Parke,85,1683.0,547.0,687.0,273.0,0.0,108.0,17.0,42.0,18.0,6.435294117647059,0.32501485442661915,3.211764705882353,4.870588235294117,8.08235294117647,0.1574074074074074,0.5714285714285714,0.0
Oliver Enkamp,20,101.0,34.0,898.0,413.0,0.0,5.0,1.0,22.0,13.0,1.7,0.33663366336633666,20.65,24.25,44.9,0.2,0.4090909090909091,0.0
Olivier Aubin-Mercier,130,3056.0,1569.0,2605.0,1114.0,22.0,357.0,116.0,104.0,32.0,12.069230769230769,0.5134162303664922,8.569230769230769,11.46923076923077,20.03846153846154,0.32492997198879553,0.6923076923076923,0.16923076923076924
Oluwale Bamgbose,45,272.0,125.0,719.0,331.0,0.0,5.0,2.0,22.0,9.0,2.7777777777777777,0.45955882352941174,7.355555555555555,8.622222222222222,15.977777777777778,0.4,0.5909090909090909,0.0
Omari Akhmedov,100,2500.0,847.0,1051.0,509.0,3.0,96.0,55.0,24.0,11.0,8.47,0.3388,5.09,5.42,10.51,0.5729166666666666,0.5416666666666666,0.03
Oskar Piechota,30,208.0,129.0,337.0,168.0,6.0,6.0,2.0,11.0,4.0,4.3,0.6201923076923077,5.6,5.633333333333334,11.233333333333333,0.3333333333333333,0.6363636363636364,0.2
Ovince Saint Preux,185,6783.0,2774.0,3089.0,1589.0,39.0,212.0,97.0,160.0,72.0,14.994594594594595,0.40896358543417366,8.58918918918919,8.108108108108109,16.697297297297297,0.45754716981132076,0.55,0.21081081081081082
Paddy Holohan,40,445.0,220.0,848.0,370.0,9.0,32.0,16.0,24.0,8.0,5.5,0.4943820224719101,9.25,11.95,21.2,0.5,0.6666666666666666,0.225
Paige VanZant,100,1916.0,1078.0,818.0,420.0,22.0,96.0,40.0,22.0,12.0,10.78,0.5626304801670147,4.2,3.98,8.18,0.4166666666666667,0.45454545454545453,0.22
Pat Healy,30,100.0,32.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,1.0666666666666667,0.32,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
Patrick Cote,100,1671.0,857.0,1650.0,742.0,6.0,132.0,30.0,23.0,5.0,8.57,0.5128665469778576,7.42,9.08,16.5,0.22727272727272727,0.782608695652174,0.06
Patrick Cummins,125,3895.0,2115.0,3156.0,1423.0,9.0,416.0,204.0,123.0,57.0,16.92,0.5430038510911425,11.384,13.864,25.248,0.49038461538461536,0.5365853658536586,0.072
Patrick Holohan,20,29.0,10.0,67.0,19.0,1.0,1.0,0.0,0.0,0.0,0.5,0.3448275862068966,0.95,2.4,3.35,0.0,0.0,0.05
Patrick Walsh,30,24.0,11.0,48.0,25.0,3.0,7.0,5.0,2.0,1.0,0.36666666666666664,0.4583333333333333,0.8333333333333334,0.7666666666666667,1.6,0.7142857142857143,0.5,0.1
Patrick Williams,40,204.0,101.0,379.0,181.0,2.0,22.0,8.0,5.0,2.0,2.525,0.4950980392156863,4.525,4.95,9.475,0.36363636363636365,0.6,0.05
Paul Craig,35,224.0,134.0,256.0,149.0,9.0,13.0,3.0,2.0,2.0,3.8285714285714287,0.5982142857142857,4.257142857142857,3.057142857142857,7.314285714285714,0.23076923076923078,0.0,0.2571428571428571
Paul Felder,135,5605.0,2362.0,4141.0,1842.0,18.0,52.0,22.0,122.0,49.0,17.496296296296297,0.4214094558429973,13.644444444444444,17.02962962962963,30.674074074074074,0.4230769230769231,0.5983606557377049,0.13333333333333333
Paul Redmond,20,7.0,2.0,140.0,53.0,0.0,2.0,0.0,18.0,7.0,0.1,0.2857142857142857,2.65,4.35,7.0,0.0,0.6111111111111112,0.0
Paulo Borrachinha,5,0.0,0.0,326.0,179.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,35.8,29.4,65.2,0.0,0.7647058823529411,0.0
Paulo Costa,30,346.0,201.0,1601.0,721.0,0.0,2.0,0.0,57.0,26.0,6.7,0.5809248554913294,24.033333333333335,29.333333333333332,53.36666666666667,0.0,0.543859649122807,0.0
Paulo Thiago,30,110.0,42.0,236.0,92.0,0.0,7.0,1.0,8.0,2.0,1.4,0.38181818181818183,3.066666666666667,4.8,7.866666666666666,0.14285714285714285,0.75,0.0
