Name,estimated_minutes,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Bevon Lewis,15,98.0,49.0,97.0,48.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.14666666666666667,16.0,14.853333333333333,6.125,2.970666666666667
Bobby Green,80,1923.0,878.0,1820.0,786.0,1488.0,734.0,0.0,0.0,0.0,33.0,1.0,34.0,16.0,0.04111111111111111,33.0,79.9588888888889,58.27272727272727,15.991777777777779
Bobby Nash,25,345.0,164.0,275.0,103.0,869.0,349.0,44.0,36.0,4.0,13.0,4.0,20.0,6.0,0.6622222222222223,61.0,24.337777777777777,5.655737704918033,4.867555555555556
Bojan Mihajlovic,30,77.0,37.0,66.0,28.0,253.0,111.0,9.0,8.0,0.0,2.0,0.0,0.0,0.0,0.3422222222222222,11.0,29.657777777777778,7.0,5.931555555555556
Bojan Velickovic,90,2187.0,1181.0,1452.0,499.0,1319.0,582.0,375.0,346.0,8.0,47.0,11.0,75.0,25.0,0.33666666666666667,430.0,89.66333333333333,5.086046511627907,17.932666666666666
Brad Pickett,105,3609.0,1444.0,3061.0,957.0,1887.0,799.0,716.0,528.0,7.0,181.0,48.0,72.0,22.0,2.22,904.0,102.78,3.9922566371681416,20.556
Brad Tavares,145,4242.0,2005.0,3690.0,1514.0,2483.0,1076.0,214.0,177.0,0.0,128.0,27.0,104.0,29.0,3.3644444444444446,342.0,141.63555555555556,12.403508771929825,28.327111111111112
Bradley Scott,75,1586.0,865.0,1356.0,652.0,595.0,313.0,98.0,89.0,5.0,19.0,4.0,23.0,6.0,1.54,122.0,73.46,13.0,14.691999999999998
Brandon Davis,70,2927.0,1014.0,2809.0,907.0,1515.0,640.0,103.0,65.0,0.0,10.0,7.0,104.0,48.0,0.7355555555555555,113.0,69.26444444444445,25.902654867256636,13.85288888888889
Brandon Moreno,70,962.0,456.0,780.0,287.0,3057.0,1307.0,216.0,178.0,12.0,51.0,23.0,121.0,41.0,3.2288888888888887,279.0,66.77111111111111,3.4480286738351253,13.354222222222223
