Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Percentile_Rank_Striking_to_grappling_attempts_ratio,Total Striking Time to Grappling Action Time Ratio,Percentile_Rank_Striking_to_grappling_Time_ratio
Takeya Mizugaki,60,0,0,1457,586,1170,366,1217,470,384,254,0,20,0,23,13,8.958333333,404,51.04166667,3.606435644,0.503,5.697674419,0.086
Talita Bernardo,30,0,0,112,38,88,22,1199,485,26,17,1,7,3,3,3,1.3875,34,28.6125,3.294117647,0.472,20.62162162,0.418
Tamdan McCrory,30,1,0,200,162,112,80,532,245,180,150,2,8,4,22,6,3.020833333,190,26.97916667,1.052631579,0.193,8.931034483,0.195
Tarec Saffiedine,100,0,0,2483,1334,2194,1046,2001,885,265,260,5,26,7,47,24,8.16875,296,91.83125,8.388513514,0.763,11.24177506,0.245
Tateki Matsuda,30,0,0,142,70,111,41,142,45,34,32,0,1,0,0,0,0.247916667,35,29.75208333,4.057142857,0.551,120.0084034,0.861
Tatiana Suarez,40,2,1,534,406,278,192,1424,551,448,372,4,22,19,71,27,7.825,474,32.175,1.126582278,0.2,4.111821086,0.053
Tatsuya Kawajiri,85,1,0,1073,816,603,370,1149,485,597,568,9,145,44,40,12,14.16666667,751,70.83333333,1.428761651,0.228,5,0.073
Taylor Lapilus,55,0,1,727,417,627,322,354,135,52,44,4,12,6,36,9,0.1,68,54.9,10.69117647,0.809,549,0.952
Tecia Torres,130,1,0,6212,3529,4852,2387,5097,2563,872,673,3,156,30,101,48,15.20416667,1031,114.7958333,6.025218235,0.687,7.55028775,0.169
Teemu Packalen,25,1,0,151,88,133,76,261,104,46,30,3,22,6,14,7,1.783333333,71,23.21666667,2.126760563,0.323,13.01869159,0.279
Terrion Ware,60,0,0,1418,534,1299,441,520,204,96,72,0,13,2,46,18,0.591666667,109,59.40833333,13.00917431,0.845,100.4084507,0.843
Teruto Ishihara,95,0,2,2584,1325,2427,1192,1019,402,300,219,0,44,5,53,20,3.875,344,91.125,7.511627907,0.742,23.51612903,0.549
Thales Leites,155,2,2,3831,1677,3539,1440,4118,1865,347,272,28,244,50,99,36,12.53125,619,142.46875,6.18901454,0.693,11.36907731,0.25
Thanh Le,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,9.375,0,0,15,0.304
Thiago Alves,90,0,1,2920,1373,2788,1246,1166,570,190,151,4,9,3,48,15,1.625,203,88.375,14.38423645,0.863,54.38461538,0.765
Thiago Perpetuo,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,4.375,0,0,7,0.111
Thiago Santos,130,0,9,6019,3081,5422,2506,2762,1239,1369,917,1,68,19,81,30,14.34791667,1438,115.6520833,4.185674548,0.561,8.06054886,0.176
Thiago Tavares,30,2,0,550,365,288,134,384,184,381,307,4,31,18,28,11,6.670833333,416,23.32916667,1.322115385,0.217,3.497189257,0.041
Thibault Gouti,45,0,1,439,240,329,136,1511,724,125,112,0,0,0,84,30,0.433333333,125,44.56666667,3.512,0.497,102.8461538,0.846
Thomas Almeida,75,0,4,2874,1456,2844,1426,2333,895,8,8,0,0,0,79,23,0.279166667,8,74.72083333,359.25,1,267.6567164,0.917
Tiago Trator,50,0,0,765,361,635,252,748,227,46,26,1,8,1,29,11,1.15,55,48.85,13.90909091,0.856,42.47826087,0.701
Tim Boetsch,75,0,4,2107,1328,1448,703,2803,1279,488,427,0,57,16,209,79,4.654166667,545,70.34583333,3.866055046,0.528,15.11459266,0.347
Tim Elliott,75,1,0,1718,1270,826,439,1847,923,979,887,8,65,55,86,37,6.991666667,1052,68.00833333,1.633079848,0.256,9.727056019,0.21
Tim Gorman,30,0,0,106,50,69,15,0,0,23,18,0,10,0,0,0,0.625,33,29.375,3.212121212,0.465,47,0.716
Tim Johnson,85,0,1,2472,1375,1675,694,521,331,422,313,0,66,26,23,9,2.35,488,82.65,5.06557377,0.627,35.17021277,0.66
Tim Kennedy,55,0,0,370,184,298,132,1125,502,104,68,1,28,10,26,12,0.625,133,54.375,2.781954887,0.415,87,0.828
Tim Means,150,1,3,8107,4157,7200,3319,3600,1629,791,632,20,150,77,216,83,15.05833333,961,134.9416667,8.436004162,0.764,8.96126176,0.197
Tim Williams,20,0,0,18,8,18,8,407,222,0,0,0,0,0,30,13,0.625,1,19.375,18,0.884,31,0.593
Tina Lahdemaki,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Toby Misech,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Todd Duffee,10,0,1,16,8,16,8,119,79,2,2,0,0,0,10,6,0.625,2,9.375,8,0.754,15,0.304
Tom Breese,45,0,3,671,414,544,299,2067,838,176,134,2,11,0,101,32,2.866666667,189,42.13333333,3.55026455,0.5,14.69767442,0.298
Tom Duquesnoy,40,0,1,243,148,196,105,645,264,52,45,0,1,1,21,10,13.80833333,53,26.19166667,4.58490566,0.591,1.896801448,0.011
Tom Gallicchio,15,0,0,0,0,0,0,531,224,0,0,0,0,0,30,3,0.625,1,14.375,0,0,23,0.435
Tom Lawlor,25,0,1,55,25,52,22,1113,520,3,3,0,1,0,51,22,0.625,4,24.375,13.75,0.854,39,0.673
Tom Niinimaki,20,0,0,38,25,26,15,85,19,16,14,1,14,4,4,0,0.041666667,31,19.95833333,1.225806452,0.209,479,0.946
Tom Watson,60,0,0,954,367,931,349,357,187,19,16,0,8,0,20,3,0.625,27,59.375,35.33333333,0.941,95,0.837
Tony Ferguson,120,5,2,5082,2741,4327,2041,3423,1504,996,888,61,48,22,136,58,10.83541667,1105,109.1645833,4.599095023,0.592,10.07479331,0.219
Tony Martin,130,2,1,3644,1756,3005,1237,2644,1097,395,320,42,194,45,130,48,14.45833333,631,115.5416667,5.77496038,0.666,7.991354467,0.173
Tony Sims,25,0,1,96,70,67,43,405,158,48,45,1,2,0,37,9,0.016666667,51,24.98333333,1.882352941,0.283,1499,0.983
Tonya Evinger,20,0,0,87,34,85,32,227,136,0,0,0,4,1,3,3,0.625,4,19.375,21.75,0.899,31,0.593
Tor Troeng,30,0,0,63,42,45,26,157,75,8,8,0,5,1,10,1,0.633333333,13,29.36666667,4.846153846,0.609,46.36842105,0.712
Travis Browne,90,0,2,2621,1191,2374,962,1413,721,646,516,0,26,14,48,17,5.391666667,672,84.60833333,3.900297619,0.531,15.69242658,0.361
Trevin Giles,25,0,2,66,54,53,41,32,16,49,42,0,5,5,8,3,1.147916667,54,23.85208333,1.222222222,0.207,20.77858439,0.419
Trevor Smith,115,0,0,3315,2188,2278,1230,1667,778,1319,1163,26,135,40,61,23,30.52916667,1480,84.47083333,2.239864865,0.334,2.766889586,0.025
Tyler Diamond,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Tyron Woodley,135,1,3,2779,1354,2279,887,3992,1808,486,446,6,45,29,98,31,6.760416667,537,128.2395833,5.175046555,0.632,18.96918336,0.398
Tyson Pedro,35,2,1,386,267,264,159,1172,491,112,106,5,9,8,45,15,2.53125,126,32.46875,3.063492063,0.454,12.82716049,0.276
Ulka Sasaki,70,3,0,1154,570,896,351,1804,771,299,242,19,98,31,136,61,6.345833333,416,63.65416667,2.774038462,0.414,10.03086014,0.217
Uriah Hall,95,0,4,2781,1495,2570,1284,2545,1191,499,386,14,40,22,87,39,4.185416667,553,90.81458333,5.028933092,0.624,21.69785963,0.426
Urijah Faber,125,2,0,2261,965,2056,778,2205,879,230,195,11,168,38,86,36,7.739583333,409,117.2604167,5.528117359,0.649,15.15074024,0.348
Vagner Rocha,10,0,0,0,0,0,0,85,60,0,0,0,0,0,11,4,0.625,1,9.375,0,0,15,0.304
Valentina Shevchenko,100,2,0,1748,1088,1271,631,1622,788,319,293,2,75,37,23,13,7.370833333,396,92.62916667,4.414141414,0.581,12.566987,0.272
Valerie Letourneau,100,0,0,3360,1383,3091,1165,1016,503,206,154,8,31,13,8,5,5.102083333,245,94.89791667,13.71428571,0.853,18.59983667,0.396
Valmir Lazaro,45,0,0,726,279,716,269,352,148,4,4,0,20,8,25,6,0.345833333,24,44.65416667,30.25,0.931,129.1204819,0.867
Vaughan Lee,35,0,0,632,294,626,288,224,120,0,0,0,2,0,14,8,0.625,2,34.375,316,0.998,55,0.766
Vernon Ramos,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,4.375,0,0,7,0.111
Veronica Macedo,30,0,0,54,34,41,23,229,66,1,1,0,0,0,4,2,0.625,1,29.375,54,0.959,47,0.716
Vicente Luque,75,3,4,1983,1149,1549,757,1764,730,651,506,23,51,30,44,17,13.63958333,725,61.36041667,2.735172414,0.402,4.498701695,0.061
Vik Grujic,40,0,1,322,207,164,49,99,27,127,125,0,11,3,4,0,0.570833333,138,39.42916667,2.333333333,0.351,69.0729927,0.804
Viktor Pesta,60,0,0,1128,654,581,228,321,167,654,502,0,103,26,19,8,9.185416667,757,50.81458333,1.49009247,0.241,5.532093445,0.083
Vinc Pichel,60,0,1,1233,726,925,445,729,283,420,338,4,85,57,33,11,11.24375,509,48.75625,2.422396857,0.358,4.336297943,0.058
Vincent Morales,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,9.375,0,0,15,0.304
Viscardi Andrade,45,0,0,418,216,321,126,652,329,108,82,0,6,2,25,8,1.208333333,114,43.79166667,3.666666667,0.51,36.24137931,0.666
Vitor Belfort,55,0,1,512,249,479,235,2829,1283,76,38,0,0,0,75,32,0.116666667,76,54.88333333,6.736842105,0.711,470.4285714,0.945
Vitor Miranda,85,0,3,2081,1448,1245,667,959,471,975,884,0,15,6,24,11,7.0125,990,77.9875,2.102020202,0.32,11.12121212,0.243
Viviane Pereira,60,0,0,934,397,730,248,1359,579,163,117,1,3,3,23,10,0.941666667,167,59.05833333,5.592814371,0.652,62.71681416,0.79
Volkan Oezdemir,35,0,2,646,332,579,268,1774,842,7,5,0,3,0,69,29,0.025,10,34.975,64.6,0.973,1399,0.982
Wagner Silva,25,0,0,56,20,52,17,17,11,0,0,0,1,0,2,2,0.625,1,24.375,56,0.964,39,0.673
Walt Harris,70,0,4,1955,831,1835,725,1695,872,295,221,5,5,1,43,9,2.333333333,305,67.66666667,6.409836066,0.698,29,0.582
Wang Guan,15,0,0,0,0,0,0,939,408,0,0,0,0,0,10,8,0.625,1,14.375,0,0,23,0.435
Warlley Alves,110,3,1,2691,1427,2305,1089,1798,910,456,331,33,72,39,116,48,17.65416667,561,92.34583333,4.796791444,0.605,5.230823696,0.076
Weili Zhang,15,0,0,0,0,0,0,576,172,0,0,0,0,0,4,1,0.625,1,14.375,0,0,23,0.435
Wendell Oliveira,15,0,0,24,8,24,8,0,0,0,0,0,0,0,0,0,0.625,1,14.375,24,0.909,23,0.435
Will Brooks,45,0,0,653,414,489,276,1777,854,80,71,0,34,11,116,44,1.7625,114,43.2375,5.728070175,0.662,24.53191489,0.556
Will Campuzano,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Will Chope,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,9.375,0,0,15,0.304
William Patolino,20,0,0,78,25,77,24,435,169,9,3,0,1,0,24,10,0.625,10,19.375,7.8,0.75,31,0.593
Willie Gates,45,0,1,359,153,323,117,710,267,39,37,3,0,0,45,11,0.441666667,42,44.55833333,8.547619048,0.765,100.8867925,0.844
Wilson Reis,125,2,0,4545,2240,2996,1037,2777,1296,1460,1059,25,418,181,188,70,34.21666667,1903,90.78333333,2.388334209,0.356,2.653190453,0.024
Wu Yanan,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Wuliji Buren,25,0,0,81,37,60,17,858,370,17,17,0,11,4,14,4,0.533333333,28,24.46666667,2.892857143,0.433,45.875,0.709
Yair Rodriguez,100,0,2,2792,1420,2360,1062,2473,1002,649,489,40,87,33,100,44,9.202083333,776,90.79791667,3.597938144,0.502,9.867104369,0.214
Yan Cabral,55,1,0,332,221,227,122,423,153,160,144,8,43,10,32,9,4.745833333,211,50.25416667,1.573459716,0.251,10.58911326,0.23
Yan Xiaonan,30,0,0,222,106,211,96,924,386,6,3,0,0,0,14,10,0.625,6,29.375,37,0.945,47,0.716
Yana Kunitskaya,20,0,0,24,17,11,5,839,477,3,2,0,4,1,12,4,0.145833333,7,19.85416667,3.428571429,0.485,136.1428571,0.873
Yancy Medeiros,95,3,2,3873,1488,3725,1347,4188,1868,187,149,26,10,1,123,40,1.935416667,223,93.06458333,17.367713,0.88,48.08503767,0.746
Yao Zhikui,50,0,0,686,346,423,100,118,31,286,244,0,12,2,16,8,2.8625,298,47.1375,2.302013423,0.346,16.46724891,0.368
Yaotzin Meza,75,0,0,971,565,569,229,493,169,370,315,7,43,12,16,7,2.2875,420,72.7125,2.311904762,0.348,31.78688525,0.642
Yoel Romero,155,0,5,3479,2248,2712,1520,3300,1541,1121,936,0,199,86,78,35,11.05208333,1320,143.9479167,2.635606061,0.383,13.02450518,0.28
Yosdenis Cedeno,50,0,1,435,161,385,121,206,83,85,58,0,4,0,8,0,1.858333333,89,48.14166667,4.887640449,0.612,25.9058296,0.561
Yoshihiro Akiyama,30,0,0,165,94,119,57,58,34,104,68,0,5,2,2,0,0.625,109,29.375,1.513761468,0.244,47,0.716
Yui Chul Nam,45,0,0,438,274,320,183,223,80,195,125,1,5,4,4,1,2.116666667,201,42.88333333,2.179104478,0.329,20.25984252,0.411
Yushin Okami,20,0,0,0,0,0,0,951,405,0,0,1,1,0,31,15,0.625,2,19.375,0,0,31,0.593
Yusuke Kasuya,25,0,0,99,44,99,44,316,129,0,0,0,4,1,10,3,0.020833333,4,24.97916667,24.75,0.911,1199,0.973
Yuta Sasaki,5,1,0,0,0,0,0,20,2,0,0,0,0,0,1,1,0.625,1,4.375,0,0,7,0.111
Yves Edwards,20,0,0,84,31,79,27,73,30,3,2,0,1,1,2,2,0.016666667,4,19.98333333,21,0.895,1199,0.973
Yves Jabouin,35,0,0,695,281,647,239,488,234,42,32,0,17,11,10,4,0.095833333,59,34.90416667,11.77966102,0.827,364.2173913,0.935
Zabit Magomedsharipov,50,3,0,730,444,552,300,1394,464,241,183,8,50,30,27,7,8.779166667,299,41.22083333,2.441471572,0.36,4.695301376,0.067
Zach Makovsky,90,0,0,1361,808,939,419,1284,573,585,504,0,125,51,69,24,3.875,710,86.125,1.916901408,0.293,22.22580645,0.43
Zak Cummings,90,2,1,2843,1070,2501,776,1771,777,394,270,15,48,28,117,47,12.08125,457,77.91875,6.221006565,0.694,6.449560269,0.102
Zak Ottow,65,0,1,1938,930,1621,644,2397,1099,250,214,5,23,6,109,33,1.8625,278,63.1375,6.971223022,0.719,33.89932886,0.655
Zhang Lipeng,30,0,0,545,381,176,86,92,29,335,261,6,35,12,10,5,4.2625,376,25.7375,1.449468085,0.231,6.038123167,0.095
Zu Anyanwu,15,0,0,63,31,49,20,241,116,20,17,0,1,1,1,1,0.1,21,14.9,3,0.446,149,0.881
Zubaira Tukhugov,50,0,1,532,232,502,206,336,142,60,33,0,19,10,20,9,0.63125,79,49.36875,6.734177215,0.71,78.20792079,0.816
