Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Percentile_Rank_Striking_to_grappling_attempts_ratio,Total Striking Time to Grappling Action Time Ratio,Percentile_Rank_Striking_to_grappling_Time_ratio
Michel Quinones,25,0,0,79,16,78,16,174,101,0,0,0,0,0,11,4,0.625,1,24.375,79,0.979,39,0.673
Michelle Waterson,75,2,0,1203,864,827,522,3722,1558,469,406,28,32,29,98,35,14.775,529,60.225,2.274102079,0.341,4.076142132,0.051
Michinori Tanaka,75,0,0,1203,686,745,284,479,208,643,525,4,59,28,31,12,7.9875,706,67.0125,1.703966006,0.266,8.389671362,0.183
Mickael Lebout,45,0,0,340,168,307,137,83,50,49,42,0,1,0,0,0,1.60625,50,43.39375,6.8,0.714,27.0155642,0.568
Mickey Gall,40,4,0,291,205,164,93,1118,484,242,182,18,9,7,48,13,4,269,36,1.081784387,0.197,9,0.199
Miesha Tate,105,1,0,2677,1617,1751,786,1575,703,886,771,30,97,18,40,18,19.25625,1013,85.74375,2.642645607,0.388,4.452775073,0.06
Mike Easton,30,0,0,116,51,111,46,109,33,4,4,0,2,0,0,0,0.625,6,29.375,19.33333333,0.889,47,0.716
Mike Jackson,20,0,0,6,3,6,3,1,0,0,0,0,0,0,0,0,0.625,1,19.375,6,0.683,31,0.593
Mike King,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,9.375,0,0,15,0.304
Mike Perry,95,0,4,2962,1442,2737,1223,3214,1400,493,416,0,6,3,26,8,4.339583333,499,90.66041667,5.935871743,0.678,20.89150264,0.423
Mike Pierce,15,0,0,0,0,0,0,188,89,0,0,0,0,0,7,4,0.625,1,14.375,0,0,23,0.435
Mike Pyle,70,0,2,1626,923,1329,644,1574,620,391,361,16,46,27,73,35,5.7,453,64.3,3.589403974,0.501,11.28070175,0.247
Mike Rhodes,35,0,0,377,166,356,149,138,62,3,2,2,10,4,3,0,0.075,15,34.925,25.13333333,0.914,465.6666667,0.944
