striking_grappling_att_ratio,class
9.943396226,1
9.93911007,1
9.929824561,1
9.914396887,1
9.9,1
9.834532374,1
9.724409449,1
9.556390977,0
9.416666667,1
9.394736842,1
9.272727273,1
9.181818182,0
9.139028476,1
9.052238806,1
9.027027027,1
9,1
9,1
8.857142857,1
8.84501845,1
8.840807175,1
8.750865052,1
8.70212766,1
8.636363636,1
8.62755102,1
8.6,1
8.547619048,1
8.511111111,0
8.436004162,1
8.388513514,1
8.374738311,0
8.358346095,1
8.342105263,1
8.330769231,0
8.325581395,1
8.316239316,1
8.285714286,1
8.125461255,1
8.044776119,1
8,1
8,1
7.928571429,1
7.857142857,1
7.842105263,1
7.8,1
7.760869565,1
7.759493671,0
7.753246753,1
7.657894737,0
7.642105263,1
7.607344633,1
7.571428571,1
7.542678152,1
7.511627907,1
7.5,1
7.5,1
7.458333333,1
7.456647399,1
7.409090909,1
7.408450704,1
7.352941176,1
7.349206349,0
7.345263158,1
7.315789474,1
7.294573643,0
7.275362319,1
7.26446281,1
7.222222222,1
7.165789474,1
7.164502165,1
7.15483871,1
7.125,1
7.064171123,0
7,1
7,1
7,1
7,1
7,1
7,1
7,0
6.996519722,1
6.971223022,0
6.941037736,0
6.93220339,1
6.900887574,0
6.813953488,0
6.8,0
6.8,0
6.8,0
6.787878788,1
6.770053476,1
6.767195767,0
6.736842105,1
6.734177215,0
6.723214286,0
6.639053254,0
6.635135135,0
6.602140946,1
6.586956522,0
6.546296296,0
6.542750929,0
6.5,1
6.5,0
6.453531599,0
6.4375,0
6.415841584,0
6.414012739,1
6.409836066,1
6.348600509,0
6.326315789,1
6.268181818,1
6.221006565,0
6.2,0
6.189349112,1
6.18901454,0
6.166666667,0
6.125,0
6.064516129,0
6.035532995,0
6.035087719,0
6.025218235,0
6.020467836,0
6.010238908,1
6.008264463,0
6,0
5.984555985,0
5.981132075,0
5.97105644,1
5.965884861,1
5.948905109,0
5.935871743,1
5.933333333,0
5.917525773,0
5.903225806,0
5.898809524,0
5.878947368,0
5.875,0
5.8625,0
5.851088202,1
5.836065574,0
5.798076923,0
5.795737123,1
5.79389313,0
5.77496038,0
5.761904762,0
5.759517177,1
5.75,0
5.75,0
5.728070175,0
5.714285714,0
5.705882353,0
5.696969697,1
5.68852459,0
5.683333333,0
5.666666667,1
5.655737705,0
5.631578947,0
5.620253165,0
5.599018003,0
5.592814371,0
5.574971815,1
5.532642487,0
5.528117359,0
5.51572327,1
5.5,0
5.5,0
5.5,0
5.5,0
5.5,0
5.481081081,0
5.460992908,0
5.457489879,0
5.428571429,0
5.4,0
5.391304348,0
5.380952381,0
5.363636364,0
5.306666667,0
5.278074866,0
5.261487965,0
5.254901961,0
5.236879433,0
5.230769231,1
5.226635514,0
5.20855615,0
5.185430464,0
5.175046555,1
5.116465863,0
5.114285714,0
5.086046512,0
5.069444444,1
5.06557377,0
5.058035714,1
5.029057406,0
5.028933092,1
5.024390244,0
5.005555556,0
5,0
5,0
5,0
4.976510067,1
4.971428571,0
4.948960302,0
4.947368421,0
4.947368421,0
4.911520737,0
4.891891892,0
4.887640449,0
4.865853659,0
4.861287398,0
4.860655738,0
4.846153846,0
4.845360825,0
4.812694462,1
4.8,0
4.796791444,0
4.792253521,1
4.790598291,0
4.777348777,0
4.775862069,0
4.769230769,0
4.760638298,0
4.738095238,0
4.733333333,0
4.696969697,0
4.682432432,1
4.666666667,1
4.666666667,0
4.631578947,0
4.599095023,1
4.58490566,0
4.583333333,0
4.54679803,0
4.531058618,1
4.48245614,0
4.475728155,0
