class,striking_to_grappling_attempts_ratio
Grappler,3.35
Grappler,3.33
Grappler,3.33
Grappler,3.3
Grappler,3.29
Grappler,3.29
Striker,3.28
Grappler,3.27
Grappler,3.25
Grappler,3.25
Grappler,3.24
Striker,3.23
Grappler,3.21
Grappler,3.2
Grappler,3.18
Striker,3.18
Striker,3.17
Striker,3.16
Grappler,3.15
Grappler,3.1
Grappler,3.09
Grappler,3.08
Grappler,3.08
Striker,3.07
Grappler,3.06
Striker,3.05
Grappler,3.03
Grappler,3.02
Grappler,3
Grappler,3
Grappler,3
Grappler,3
Grappler,3
Grappler,3
Grappler,2.97
Grappler,2.96
Grappler,2.96
Striker,2.95
Grappler,2.95
Grappler,2.95
Grappler,2.95
Grappler,2.94
Grappler,2.92
Grappler,2.92
Grappler,2.91
Grappler,2.91
Grappler,2.9
Grappler,2.89
Grappler,2.89
Grappler,2.88
Grappler,2.88
Grappler,2.87
Grappler,2.86
Striker,2.85
Grappler,2.85
Grappler,2.85
Grappler,2.84
Grappler,2.84
Grappler,2.84
Grappler,2.84
Grappler,2.83
Grappler,2.82
Grappler,2.81
Grappler,2.81
Grappler,2.8
Grappler,2.79
Grappler,2.79
Grappler,2.78
Grappler,2.77
Grappler,2.77
Striker,2.77
Grappler,2.77
Grappler,2.76
Grappler,2.76
Grappler,2.75
Grappler,2.75
Grappler,2.75
Grappler,2.75
Grappler,2.75
Grappler,2.74
Grappler,2.74
Striker,2.74
Grappler,2.73
Grappler,2.73
Striker,2.73
Grappler,2.72
Striker,2.72
Grappler,2.72
Grappler,2.71
Grappler,2.7
Striker,2.7
Grappler,2.69
Grappler,2.68
Grappler,2.67
Grappler,2.67
Grappler,2.66
Grappler,2.64
Grappler,2.64
Grappler,2.64
Grappler,2.64
Grappler,2.64
Grappler,2.64
Striker,2.64
Grappler,2.63
Striker,2.62
Grappler,2.6
Grappler,2.59
Grappler,2.58
Striker,2.56
Grappler,2.55
Grappler,2.55
Grappler,2.54
Striker,2.53
Grappler,2.53
Grappler,2.52
Grappler,2.52
Grappler,2.52
Grappler,2.52
Grappler,2.52
Grappler,2.5
Grappler,2.5
Grappler,2.5
Grappler,2.49
Grappler,2.48
Grappler,2.47
Grappler,2.46
Grappler,2.46
Grappler,2.44
Grappler,2.43
Grappler,2.42
Grappler,2.4
Grappler,2.4
Grappler,2.39
Grappler,2.38
Grappler,2.35
Grappler,2.35
Grappler,2.33
Grappler,2.33
Striker,2.32
Grappler,2.32
Grappler,2.31
Grappler,2.31
Grappler,2.3
Grappler,2.3
Striker,2.29
Grappler,2.29
Grappler,2.28
Striker,2.28
Grappler,2.27
Striker,2.27
Grappler,2.27
Grappler,2.26
Grappler,2.26
Striker,2.26
Grappler,2.25
Striker,2.24
Grappler,2.24
Grappler,2.24
Grappler,2.24
Grappler,2.22
Grappler,2.2
Grappler,2.18
Grappler,2.17
Grappler,2.17
Grappler,2.15
Grappler,2.14
Grappler,2.14
Grappler,2.13
Grappler,2.13
Striker,2.12
Grappler,2.11
Grappler,2.1
Striker,2.1
Grappler,2.07
Grappler,2.06
Striker,2.06
Grappler,2.05
Grappler,2.05
Grappler,2.05
Striker,2.05
Grappler,2.04
Grappler,2.03
Grappler,2.03
Grappler,2
Grappler,2
Grappler,2
Grappler,1.99
Striker,1.99
Striker,1.99
Grappler,1.99
Grappler,1.98
Grappler,1.98
Striker,1.97
Striker,1.97
Striker,1.97
Grappler,1.95
Grappler,1.95
Grappler,1.95
Grappler,1.95
Grappler,1.93
Striker,1.92
Grappler,1.92
Grappler,1.91
Striker,1.91
Grappler,1.91
Grappler,1.91
Grappler,1.91
Grappler,1.9
Grappler,1.9
Grappler,1.9
Grappler,1.9
Grappler,1.88
Grappler,1.88
Grappler,1.88
Grappler,1.88
Striker,1.88
Grappler,1.87
Grappler,1.87
Grappler,1.86
Grappler,1.84
Grappler,1.83
Striker,1.83
Grappler,1.83
Grappler,1.82
Grappler,1.8
